Nome: PORTO GRANDE
Codigo Estacao: A244
Latitude: 0.69416666
Longitude: -51.40388888
Altitude: 84.8
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;21;null;25,6;
2020-02-29;19;null;25,6;
2020-03-31;26;219,6;25,8;
2020-04-30;23;null;25,7;
2020-05-31;14;null;25,8;
2020-06-30;30;265,6;25,4;
2020-07-31;24;196,2;25,7;
2020-08-31;16;134,4;26,7;
2020-09-30;11;45,8;27,4;
2020-10-31;7;35,4;28,1;
2020-11-30;21;220,6;26,4;
2020-12-31;17;41,8;26,5;
2021-01-31;19;null;25;
2021-02-28;25;267;24,8;
2021-03-31;27;367,6;24,8;
2021-04-30;23;null;25;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;22;176,4;25,3;
2022-05-31;29;239,8;25,1;
2022-06-30;28;159,2;25,3;
2022-07-31;23;218;25,3;
2022-08-31;18;77,8;26,3;
2022-09-30;8;30;27,3;
2022-10-31;9;24,6;27,9;
2022-11-30;16;114,8;26,5;
2022-12-31;30;306;25,3;
2023-01-31;28;248;24,9;
2023-02-28;25;326,6;24,6;
2023-03-31;27;331,4;25;
2023-04-30;22;285,2;25,6;
2023-05-31;27;302,4;26;
2023-06-30;21;179,4;25,9;
2023-07-31;22;141,2;26,2;
2023-08-31;9;41;27,4;
2023-09-30;5;9;28,4;
2023-10-31;6;31;28,7;
2023-11-30;11;36,2;28,2;
2023-12-31;21;114;27,1;
2024-01-31;29;370;25,9;
2024-02-29;23;183,2;26,2;
2024-03-31;26;392,4;26,2;
2024-04-30;27;313,6;26,2;
2024-05-31;29;253,6;26,2;
2024-06-30;25;231;25,9;
2024-07-31;22;176,4;26,1;
2024-08-31;12;120,4;27,1;
2024-09-30;5;59,2;27,8;
2024-10-31;4;null;null;

