Nome: MANACAPURU
Codigo Estacao: A119
Latitude: -3.29472221
Longitude: -60.62833332
Altitude: 36.57
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;0;0;27,4;
2020-02-29;null;null;27,6;
2020-03-31;null;null;27,7;
2020-04-30;null;null;26,8;
2020-05-31;null;null;26,9;
2020-06-30;null;null;27,2;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;7;null;null;
2021-01-31;22;null;26;
2021-02-28;21;277,4;26,6;
2021-03-31;30;310;25,9;
2021-04-30;20;363,2;26,7;
2021-05-31;24;166,8;26,9;
2021-06-30;16;139,8;26,9;
2021-07-31;16;212,4;26,9;
2021-08-31;9;183,4;27,7;
2021-09-30;18;129,8;27,6;
2021-10-31;18;119;28,1;
2021-11-30;20;200,4;27;
2021-12-31;27;513,2;26,5;
2022-01-31;25;385;26,5;
2022-02-28;25;409,2;25,9;
2022-03-31;25;265;26,1;
2022-04-30;23;439,8;26,3;
2022-05-31;14;101,6;27;
2022-06-30;16;174,6;26,4;
2022-07-31;5;37,4;28,1;
2022-08-31;9;39,4;28,3;
2022-09-30;8;73,6;28,9;
2022-10-31;13;164;28,1;
2022-11-30;8;46,8;27,7;
2022-12-31;17;169,6;27;
2023-01-31;25;262,2;25,6;
2023-02-28;22;null;25,8;
2023-03-31;25;238,4;26,3;
2023-04-30;19;231,8;27;
2023-05-31;17;152,2;27,3;
2023-06-30;12;150,8;27,1;
2023-07-31;9;43,2;28,5;
2023-08-31;5;36,8;29,2;
2023-09-30;4;22;29,6;
2023-10-31;10;101,4;29,4;
2023-11-30;9;99,8;28,5;
2023-12-31;19;303;26,8;
2024-01-31;17;157,4;27,4;
2024-02-29;14;313,6;27,6;
2024-03-31;3;null;null;
2024-04-30;17;null;27;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

